1000
499999,00 299999,00
242,72 1320,67
115,35 1004,75
267,27 950,77
158,29 945,27
0,00 0,00
191,54 451,88
227,73 310,52
173,22 1785,85
286,46 945,08
500000,00 300000,00
136,09 1275,65
208,84 1116,53
115,23 1602,66
189,64 749,40
192,87 1415,64
170,39 923,05
119,39 1710,25
297,14 1810,70
241,89 950,11
155,20 1312,44
147,60 1064,95
213,61 714,00
270,18 1479,80
156,73 1485,45
203,85 1800,11
179,71 1919,04
223,90 802,27
281,93 593,81
121,42 856,10
104,41 946,09
126,09 836,86
126,68 1119,82
212,93 867,54
263,54 1868,01
267,08 969,53
283,56 878,01
215,41 789,20
209,10 796,73
124,60 411,48
151,29 739,56
212,18 1967,24
283,81 1776,81
120,63 1290,98
265,61 1204,59
263,93 1187,53
185,56 1024,18
172,04 1222,25
220,85 472,91
130,64 457,54
276,11 1672,76
241,93 1920,84
101,93 1988,59
116,70 803,59
178,74 916,97
148,93 1359,38
196,31 758,64
121,02 489,97
259,27 662,99
141,21 1982,99
205,22 1471,26
224,30 1491,68
235,08 1426,63
192,51 1628,48
224,00 1164,11
195,52 1277,32
206,52 840,78
227,00 516,45
210,86 517,87
149,46 1783,92
255,39 1560,22
130,11 310,36
113,62 1175,57
237,58 1590,20
204,93 1476,77
252,40 561,92
274,10 1312,98
104,10 619,94
185,88 782,64
163,30 1686,73
179,48 410,66
289,30 1232,20
103,13 1344,87
262,10 1939,35
280,40 802,78
212,23 1879,90
147,52 1478,71
102,78 1782,08
245,06 803,30
214,68 343,46
147,28 1532,95
140,18 566,42
269,15 1834,85
198,55 1871,15
203,66 424,94
254,10 1471,46
110,85 1410,69
238,64 782,79
105,34 1088,32
258,72 1968,22
170,64 345,10
202,84 1418,38
265,97 721,21
254,14 1904,31
185,42 1992,72
261,82 1938,37
179,65 1647,94
127,16 527,74
156,31 442,04
220,18 907,25
238,60 832,05
158,36 1794,31
179,89 913,59
251,17 316,88
207,75 1503,45
142,43 1827,53
102,25 438,20
266,93 1231,58
100,70 687,82
278,86 825,27
165,49 1815,62
206,33 561,18
251,52 350,87
139,93 532,33
266,06 1678,98
172,45 1294,04
227,13 1895,58
273,18 1522,96
294,63 1015,47
201,72 1346,49
274,52 1975,16
245,20 1362,64
276,92 1918,61
296,68 1410,33
247,54 1209,74
183,94 1943,03
285,05 672,51
204,52 1205,14
207,74 419,53
126,45 709,45
138,96 1293,50
273,39 1566,91
143,69 1912,51
129,19 424,92
167,37 979,53
168,37 1329,76
103,52 1489,45
147,82 1139,87
147,92 1342,76
279,36 482,25
285,01 1454,07
143,61 1361,79
195,89 1125,64
102,81 1105,05
277,82 541,49
123,45 1843,80
221,11 1326,02
129,21 1421,54
102,51 402,51
270,45 736,43
222,64 1381,50
218,62 818,00
140,69 706,93
172,30 1571,64
140,60 1188,57
296,05 1815,00
100,97 1253,58
204,23 1573,27
234,80 356,82
248,83 496,71
215,16 1000,08
173,79 1313,03
209,71 1823,67
157,96 1529,64
109,34 1350,16
184,31 656,28
155,25 1880,03
245,54 827,62
244,23 1061,42
124,21 766,54
222,86 1782,18
170,19 1744,52
269,48 1161,50
239,13 1763,04
206,59 1750,37
152,59 1901,38
286,32 1285,46
293,87 1350,43
248,53 1479,47
263,16 379,65
263,20 1572,28
281,30 1864,68
138,26 1112,10
253,87 637,11
298,87 883,42
285,10 1304,43
125,71 449,55
166,25 1928,21
277,50 1231,32
153,50 441,90
217,10 1401,05
197,59 1335,28
110,29 1530,63
290,98 732,47
173,43 396,50
157,40 1742,49
208,19 1610,21
125,03 467,06
281,04 413,43
296,16 1109,02
280,16 448,70
254,86 436,54
213,75 1293,16
138,39 1723,18
201,68 1921,55
139,30 1902,18
156,21 546,91
201,98 344,03
147,73 972,48
230,70 491,42
207,88 1577,05
136,02 462,28
235,17 1747,09
112,02 463,00
137,23 1163,92
258,92 1636,93
168,69 651,77
244,12 1110,57
205,68 1593,63
129,03 1189,47
235,06 325,53
180,15 999,10
230,83 1427,27
229,66 1462,15
240,23 1937,81
154,29 1552,94
108,43 936,77
100,73 972,03
233,61 1850,15
201,67 439,98
262,76 858,01
298,74 917,40
114,36 404,49
216,61 1320,81
144,82 736,45
217,53 1118,26
263,92 426,18
206,16 657,16
147,93 1865,58
251,44 697,52
199,56 654,39
246,07 1098,68
160,28 1543,84
233,19 534,41
293,25 1637,97
296,06 1092,31
223,89 1500,15
128,42 1546,99
250,64 1259,55
281,56 883,18
219,59 1063,54
218,83 1785,13
294,46 1675,84
298,85 901,42
147,53 477,34
256,14 840,84
246,96 586,98
250,78 1253,90
222,73 1083,14
118,74 1807,43
155,93 1372,81
269,88 1264,94
255,16 1425,13
153,10 1444,18
158,84 559,01
136,09 1835,38
234,04 650,01
232,02 428,21
129,59 1601,00
146,05 1913,93
285,72 603,04
211,76 1400,14
102,37 698,35
141,00 1200,01
224,70 1845,40
119,94 335,19
117,33 1277,85
250,28 1222,29
167,44 1143,58
256,41 996,39
182,35 307,89
157,57 761,97
128,37 1805,76
239,06 1051,48
295,67 532,11
146,73 714,97
167,66 1066,02
276,60 860,20
123,69 1135,35
234,50 1612,23
110,27 741,36
200,25 1363,59
178,70 1379,53
146,80 1242,15
105,95 1112,31
236,59 431,93
190,90 1172,62
146,02 1944,47
149,41 1302,15
153,34 852,97
219,30 1658,38
165,94 1869,51
130,58 955,42
260,37 1067,09
296,04 839,91
161,63 1022,15
234,16 1840,92
197,68 1381,07
248,66 1774,75
231,21 634,48
158,20 1629,77
292,63 1016,95
194,82 304,63
116,49 336,45
271,13 1423,68
118,36 877,93
254,06 1307,53
139,64 1418,49
276,82 1434,08
135,36 1837,58
271,04 685,10
282,73 1105,35
207,24 437,33
148,35 684,29
194,93 1623,25
167,39 585,27
212,09 1456,41
160,39 1577,47
209,30 1488,90
141,44 663,63
265,17 1044,61
256,31 1797,14
157,24 1750,62
129,63 1835,17
156,81 1171,45
197,55 1093,64
256,02 1936,16
155,49 493,97
192,03 1536,31
260,22 1068,91
146,09 1964,84
291,26 625,41
263,83 1960,14
298,74 546,28
168,66 1917,45
243,11 1248,99
221,33 730,68
266,78 1810,07
216,65 631,76
228,40 1906,50
102,08 701,49
277,73 521,90
153,32 1736,53
252,30 914,35
248,23 1370,24
136,64 545,28
243,34 461,69
140,63 624,50
176,02 1486,71
125,71 1834,99
290,57 1487,87
135,94 362,86
118,09 1465,72
275,33 1773,11
227,34 1223,01
114,03 639,47
208,27 405,58
202,68 1458,17
149,55 918,88
127,72 1849,58
128,23 1637,33
250,03 379,16
242,28 1865,61
235,05 1509,74
285,60 355,12
104,59 730,94
290,36 626,93
218,90 1298,00
243,09 403,32
